City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Touros,BR,2022-06-28 22:29:34,-5.1989,-35.4608,76.28,87,7,11.3
116,Oksfjord,NO,2022-06-28 22:29:35,70.2396,22.3479,75.27,60,3,10.27
117,Hithadhoo,MV,2022-06-28 22:29:36,-0.6,73.0833,82.27,73,97,5.14
118,Nikolskoye,RU,2022-06-28 22:29:36,59.7035,30.7861,66.09,64,0,4.97
119,Huron,US,2022-06-28 22:29:36,41.1501,-82.5499,78.53,53,0,1.77
120,Harper,LR,2022-06-28 22:29:37,4.375,-7.7169,77.31,83,21,5.06
121,Murdochville,CA,2022-06-28 22:29:38,48.9583,-65.5006,52.68,43,61,9.22
122,Mets Masrik,AM,2022-06-28 22:29:38,40.2183,45.7681,54.54,80,1,6.58
123,Rabo De Peixe,PT,2022-06-28 22:29:38,37.8,-25.5833,63.91,100,75,10.36
124,Vila Velha,BR,2022-06-28 22:24:59,-20.3297,-40.2925,67.95,81,0,6.91
125,Salalah,OM,2022-06-28 22:29:39,17.0151,54.0924,84.29,89,100,4.61
126,Souillac,MU,2022-06-28 22:29:39,-20.5167,57.5167,66.58,88,75,14.97
127,Hami,CN,2022-06-28 22:29:40,42.8,93.45,82.35,27,52,19.37
128,Porto Belo,BR,2022-06-28 22:29:40,-27.1578,-48.5531,65.25,90,1,10.02
129,Turukhansk,RU,2022-06-28 22:29:41,65.8167,87.9833,55.99,77,98,14.58
130,Leningradskiy,RU,2022-06-28 22:29:41,69.3833,178.4167,58.1,67,99,7.63
131,Bandarbeyla,SO,2022-06-28 22:29:42,9.4942,50.8122,77.83,76,88,32.39
132,Rio Claro,BR,2022-06-28 22:29:42,-22.4114,-47.5614,66.11,57,0,2.62
133,Tuktoyaktuk,CA,2022-06-28 22:29:42,69.4541,-133.0374,69.8,46,20,3.44
134,Torbay,CA,2022-06-28 22:29:43,47.6666,-52.7314,74.17,68,100,20.71
135,Saint-Denis,FR,2022-06-28 22:29:45,48.9167,2.3333,71.11,54,0,8.05
136,Kaeo,NZ,2022-06-28 22:29:45,-35.1,173.7833,56.32,96,100,17.9
137,Sao Filipe,CV,2022-06-28 22:29:45,14.8961,-24.4956,74.66,78,57,11.3
138,Caravelas,BR,2022-06-28 22:29:46,-17.7125,-39.2481,67.57,65,68,4.52
139,Aketi,CD,2022-06-28 22:29:47,2.7388,23.7833,68.04,98,100,0.94
140,Cherskiy,RU,2022-06-28 22:29:47,68.75,161.3,43.16,85,100,7.54
141,Teguise,ES,2022-06-28 22:27:15,29.0605,-13.564,66.42,64,75,16.11
142,Borogontsy,RU,2022-06-28 22:29:48,62.6683,131.1683,58.8,47,96,7.65
143,Narsaq,GL,2022-06-28 22:29:48,60.9167,-46.05,59.22,75,100,1.3
144,Brae,GB,2022-06-28 22:29:49,60.3964,-1.353,55.04,86,100,20.85
145,Sibolga,ID,2022-06-28 22:29:49,1.7427,98.7792,75.36,85,99,3.04
146,Namibe,AO,2022-06-28 22:29:50,-15.1961,12.1522,68.04,69,6,2.95
147,Shellbrook,CA,2022-06-28 22:29:50,53.2168,-106.4011,67.23,45,8,3.56
148,Xining,CN,2022-06-28 22:29:51,36.6167,101.7667,51.85,68,77,2.35
149,Mayo,US,2022-06-28 22:29:51,38.8876,-76.5119,82.81,51,0,9.22
150,Corn Island,NI,2022-06-28 22:29:53,12.1694,-83.0418,81.95,79,65,15.59
